PaperId,Date,CitationCount,vb1,vb2,vd1,vd2,lifetime,birth_date,birth_point,death_date,death_point,shortest_path_before_death
2195654224,2011-07-08,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2195654224,2011-07-08,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2195654224,2011-07-08,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2370827840,2009-01-01,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2370827840,2009-01-01,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2370827840,2009-01-01,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
1978623013,2015-01-23,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
1752293588,2014-08-27,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2471855006,2016-07-29,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2471855006,2016-07-29,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2471855006,2016-07-29,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2387768145,2007-01-01,0,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2769690831,1999-01-01,3,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
2769690831,1999-01-01,3,160118682,552677042,158786674,183763965,0.325599137493221,1927-01-01,0.5627945248585238,1997-01-01,0.8883936623517448,2
